Codigo,Descripcion,Stock
P01020766003,PROTECTOR TAPA CANICA ER 36 C,3
P01020890448,BARRA CF-11 O (Proy 27),1
P01020860032,PLANCHA DESGASTE P78  (Proy Los Colorados),15
P01020860037,PLACA DESGASTE  P2 (Proy Los Colorados),26
P01020890264,PLACA DESGASTE CF 05 MO (Proy 48),1
P01020890267,PLACA DESGASTE CF 06 OP (Proy 48),1
P01020890270,PLACA DESGASTE CF 08 MO (Proy 48),1
P01020890273,PLACA DESGASTE CF 09 OP (Proy 48),1
P01020890274,PLACA DESGASTE CF 10 MO (Proy 48),1
P01020890276,PLACA DESGASTE CF 11 MO (Proy 48),1
P01020890282,PLACA DESGASTE CF 14 OP (Proy 48),1
P01020890152,PLACA DESGASTE CF-04 (Proy 34),1
P01020890226,PLACA DESGASTE CF-04 (Proy 38),1
P01020890227,PLACA DESGASTE CF-05 (Proy 38),1
P01020890229,PLACA DESGASTE CF-07 (Proy 38),1
P01020890230,PLACA DESGASTE CF-08 M (Proy 38),1
P01020890231,PLACA DESGASTE CF-08 O (Proy 38),1
P01020890232,PLACA DESGASTE CF-09 M (Proy 38),1
P01020890233,PLACA DESGASTE CF-09 O (Proy 38),1
P01020890158,PLACA DESGASTE CF-10 (Proy 34),1
P01020890095,PLACA DESGASTE CF-10 OP (Proy 27),1
P01020890159,PLACA DESGASTE CF-11 (Proy 34),1
P01020890078,PLACA DESGASTE CF-2 MO (Proy 27),1
P01020890079,PLACA DESGASTE CF-2 OP (Proy 27),1
P01020890080,PLACA DESGASTE CF-3 MO (Proy 27),1
P01020890081,PLACA DESGASTE CF-3 OP (Proy 27),1
P01020890082,PLACA DESGASTE CF-4 MO (Proy 27),1
P01020890083,PLACA DESGASTE CF-4 OP (Proy 27),1
P01020890084,PLACA DESGASTE CF-5 MO (Proy 27),1
P01020890085,PLACA DESGASTE CF-5 OP (Proy 27),1
P01020890086,PLACA DESGASTE CF-6 MO (Proy 27),1
P01020890087,PLACA DESGASTE CF-6 OP (Proy 27),1
P01020890088,PLACA DESGASTE CF-7 MO (Proy 27),1
P01020890089,PLACA DESGASTE CF-7 OP (Proy 27),1
P01020890090,PLACA DESGASTE CF-8 MO (Proy 27),1
P01020890091,PLACA DESGASTE CF-8 OP (Proy 27),1
P01020890257,PLACA DESGASTE CF 01 OP (Proy 48),1
P01020890260,PLACA DESGASTE CF 03 MO (Proy 48),1
P01020890261,PLACA DESGASTE CF 03 OP (Proy 48),1
P01020890242,PLACA DESGASTE CF 04 O (Proy 39),1
P01020890263,PLACA DESGASTE CF 04 OP (Proy 48),1
P01020890447,BARRA CF-11 M (Proy 27),1
P01020890310,PLACA CF 05 MO (Proy 57),1
P01020860013,PLACA DESGASTE  P23 (Proy Los Colorados),1
P01020860014,PLACA DESGASTE  P27 (Proy Los Colorados),1
P01020860016,PLACA DESGASTE  P4 (Proy Los Colorados),1
P01020890471,PLACA DESGASTE PL-12 A MO (Proy 220),1
P01020890480,PLACA DESGASTE PL-12 A OP (Proy 220),1
P01020890472,PLACA DESGASTE PL-12 B MO (Proy 220),1
P01020890473,PLACA DESGASTE PL-12 C MO (Proy 220),1
P01020890482,PLACA DESGASTE PL-12 C OP (Proy 220),1
P01020890483,PLACA DESGASTE PL-12 D OP (Proy 220),1
P01020890475,PLACA DESGASTE PL-13 A MO (Proy 220),1
P01020890484,PLACA DESGASTE PL-13 A OP (Proy 220),1
P01020890476,PLACA DESGASTE PL-13 B MO (Proy 220),1
P01020890485,PLACA DESGASTE PL-13 B OP (Proy 220),1
P01020890477,PLACA DESGASTE PL-13 C MO (Proy 220),1
P01020890486,PLACA DESGASTE PL-13 C OP (Proy 220),1
P01020890478,PLACA DESGASTE PL-13 D MO (Proy 220),1
P01020890458,PLACA DESGASTE Resbalin PL-01 MO (Proy 220),1
P01020890459,PLACA DESGASTE Resbalin PL-02 (Proy 220),1
P01020890460,PLACA DESGASTE Resbalin PL-03 OP (Proy 220),1
P01020890461,PLACA DESGASTE Resbalin PL-04 MO (Proy 220),1
P01020890463,PLACA DESGASTE Resbalin PL-06 OP (Proy 220),1
P01020890464,PLACA DESGASTE Resbalin PL-07 MO (Proy 220),1
P01020890466,PLACA DESGASTE Resbalin PL-08 B (Proy 220),1
P01020890465,PLACA DESGASTE Resbalin PL-08 OP (Proy 220),1
P01020890467,PLACA DESGASTE Resbalin PL-09 MO (Proy 220),1
P01020890468,PLACA DESGASTE Resbalin PL-09 OP (Proy 220),1
P01020890469,PLACA DESGASTE RESBALIN PL-10 (Proy 220),1
P01010160008,PLACA PRS 975,1
P01020761049,PLANCHA DESGASTE P26,1
P01020890035,REVESTIMIENTO RF-11  (Proy 11),1
P01020890041,REVESTIMIENTO RF-17  (Proy 11),1
P01020890042,REVESTIMIENTO RF-18  (Proy 11),1
P01020890046,REVESTIMIENTO RF-22  (Proy 11),1
P01020890047,REVESTIMIENTO RF-23  (Proy 11),1
P01020890049,REVESTIMIENTO RF-25  (Proy 11),1
P01020890050,REVESTIMIENTO RF-26  (Proy 11),1
P01020890051,REVESTIMIENTO RF-27  (Proy 11),1
P01020890053,REVESTIMIENTO RF-29  (Proy 11),1
P01010170004,ROTOR 975,1
P01020890281,PLACA DESGASTE CF 14 MO (Proy 48),2
P01020890238,PLACA DESGASTE CF-02  (Proy 39),2
P01020890150,PLACA DESGASTE CF-02 (Proy 34),2
P01020890151,PLACA DESGASTE CF-03 (Proy 34),2
P01020890225,PLACA DESGASTE CF-03 (Proy 38),2
P01020890248,PLACA DESGASTE CF-08 MO (Proy 39),2
P01020890249,PLACA DESGASTE CF-08 OP (Proy 39),2
P01020890235,PLACA DESGASTE CF-11 (Proy 38),2
P01020890262,PLACA DESGASTE CF 04 MO (Proy 48),2
P01020890112,PLACA DESGASTE CF 05 (Proy 29),2
P02031828003,BANDEJA 42x13 AMSCO (POLPAICO),2
P01020707047,BARRA DESGASTE BD2 (PETRICIO),2
P01010254010,MUELA FIJA PEX 500 ESTANDAR,2
P01020890387,PLACA CF 53 (Proy 57),2
P01020890097,PLACA CF-02 MO (Proy 28),2
P01020766001,PROTECTOR TAPA CANICA ER 36 A,2
P01020890034,REVESTIMIENTO RF-10  (Proy 11),2
P01020890038,REVESTIMIENTO RF-14  (Proy 11),2
P01020890280,PLACA DESGASTE CF 13 OP (Proy 48),3
P01020890237,PLACA DESGASTE CF-01 OP (Proy 39),3
P01020890094,PLACA DESGASTE CF-10 MO (Proy 27),3
P01020890052,REVESTIMIENTO RF-28  (Proy 11),3
P01020890115,PLACA DESGASTE CF 08 (Proy 29),4
P01020890223,PLACA DESGASTE CF-01 (Proy 38),4
P01020890246,PLACA DESGASTE CF-07 MO (Proy 39),4
P01020890258,PLACA DESGASTE CF 02 MO (Proy 48),4
P01020890258,PLACA DESGASTE CF 02 MO (Proy 48),4
P01010170002,ROTOR 1315,4
P01020890269,PLACA DESGASTE CF 07 OP (Proy 48),5
P01020890278,PLACA DESGASTE CF 12 (Proy 48),5
P01020890247,PLACA DESGASTE CF-07 OP (Proy 39),5
P01020890077,PLACA DESGASTE CF-1  (Proy 27),6
P01020890255,PLACA DESGASTE CF-11 OP (Proy 39),6
P01020860035,PLACA DESGASTE  P3 (Proy Los Colorados),6
P01010160004,PLACA PRI 975,6
P01020766005,PROTECTOR TAPA CAMARA INFERIOR ER 31,6
P01020890245,PLACA DESGASTE CF-06  (Proy 39),8
P01020890228,PLACA DESGASTE CF-06 (Proy 38),8
P01020840014,INSERTO 233593,8
P01020738001,IMPULSOR ER 24,9
P01020860046,PLACA PD XV,9
P01020889001,YUNQUE C 95,9
P01020807024,BARRA DESGASTE B8 (Proy Los Colorados),12
P01043160001,PLACA LP9 (PL9),13
P01020890305,PLACA CF 02 (Proy 57),15
P01020890254,PLACA DESGASTE CF-11 MO (Proy 39),18
P01020807025,BARRA FIJACION 500x100 MM,19
P01020860040,BARRA DESGASTE B5 (Proy Los Colorados),26
P01020890304,PLACA CF 01 (Proy 57),32
P01020707043,BARRA DESGASTE B1 (PETRICIO),42
P01020821001,CORAZA F 54 MS,50
P01020821002,CORAZA F 57 MS,50
P01020860031,PLANCHA DESGASTE P79  (Proy Los Colorados),55
P01020860033,PLANCHA DESGASTE P77 (Proy Los Colorados),71